"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Sep 15 08:04:34 UTC 2025","Mon Sep 15 08:04:34 UTC 2025","1","Suite","Test","Home.homepage","Home.homepage","testSinhalaVersion","testSinhalaVersion",""
"passed","Mon Sep 15 08:21:36 UTC 2025","Mon Sep 15 08:21:44 UTC 2025","8562","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testDropdownFields","testDropdownFields",""
"broken","Mon Sep 15 08:14:05 UTC 2025","Mon Sep 15 08:14:38 UTC 2025","32730","Suite","Test","MLOwner.DispatchHistoryTest","MLOwner.DispatchHistoryTest","testBackToHomeNavigation","testBackToHomeNavigation",""
"passed","Mon Sep 15 08:39:26 UTC 2025","Mon Sep 15 08:39:26 UTC 2025","192","Suite","Test","MiningEngineer.AppointmentsTabNavigationTest","MiningEngineer.AppointmentsTabNavigationTest","testSwitchToApprovedTab","testSwitchToApprovedTab",""
"passed","Mon Sep 15 08:33:15 UTC 2025","Mon Sep 15 08:33:25 UTC 2025","9909","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testPendingFilter","testPendingFilter",""
"broken","Mon Sep 15 08:37:33 UTC 2025","Mon Sep 15 08:37:33 UTC 2025","0","Suite","Test","PoliceOfficer.validnumber","PoliceOfficer.validnumber","setup","setup",""
"passed","Mon Sep 15 08:28:27 UTC 2025","Mon Sep 15 08:28:33 UTC 2025","5880","Suite","Test","GSMBOfficer.TPLandMLview","GSMBOfficer.TPLandMLview","testViewTransportLicense","testViewTransportLicense",""
"passed","Mon Sep 15 08:08:14 UTC 2025","Mon Sep 15 08:08:24 UTC 2025","10066","Suite","Test","MLOwner.mlownersingin","MLOwner.mlownersingin","testMissingLanguageButton","testMissingLanguageButton",""
"passed","Mon Sep 15 08:40:02 UTC 2025","Mon Sep 15 08:40:02 UTC 2025","9","Suite","Test","MiningEngineer.ApprovedLicensesTableTest","MiningEngineer.ApprovedLicensesTableTest","verifyApprovedAppointmentsExist","verifyApprovedAppointmentsExist",""
"broken","Mon Sep 15 08:37:00 UTC 2025","Mon Sep 15 08:37:32 UTC 2025","32770","Suite","Test","PoliceOfficer.policeofficersignin","PoliceOfficer.policeofficersignin","enterCredentialsAndLogin","Enter valid credentials and log in as a police officer",""
"passed","Mon Sep 15 08:28:16 UTC 2025","Mon Sep 15 08:28:21 UTC 2025","5564","Suite","Test","GSMBOfficer.TPLandMLview","GSMBOfficer.TPLandMLview","testViewMiningLicense","testViewMiningLicense",""
"broken","Mon Sep 15 08:15:22 UTC 2025","Mon Sep 15 08:15:58 UTC 2025","35963","Suite","Test","MLOwner.DispatchHistoryTest","MLOwner.DispatchHistoryTest","testInvalidHistoryNavigation","testInvalidHistoryNavigation",""
"passed","Mon Sep 15 08:16:04 UTC 2025","Mon Sep 15 08:16:10 UTC 2025","5961","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","openDispatchLoadPage","openDispatchLoadPage",""
"passed","Mon Sep 15 08:46:13 UTC 2025","Mon Sep 15 08:46:16 UTC 2025","3532","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","loginToDashboard","loginToDashboard",""
"skipped","Mon Sep 15 08:04:46 UTC 2025","Mon Sep 15 08:04:46 UTC 2025","0","Suite","Test","Home.Resetpassword","Home.Resetpassword","testResetPasswordWithInvalidToken","testResetPasswordWithInvalidToken",""
"passed","Mon Sep 15 08:31:48 UTC 2025","Mon Sep 15 08:31:59 UTC 2025","11537","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testReceiptUploadFunctionality","testReceiptUploadFunctionality",""
"skipped","Mon Sep 15 08:37:33 UTC 2025","Mon Sep 15 08:37:33 UTC 2025","0","Suite","Test","PoliceOfficer.validnumber","PoliceOfficer.validnumber","enterCredentialsAndLogin","Enter valid credentials and log in as a police officer",""
"skipped","Mon Sep 15 08:37:32 UTC 2025","Mon Sep 15 08:37:32 UTC 2025","0","Suite","Test","PoliceOfficer.policeofficersignin","PoliceOfficer.policeofficersignin","checkEmptyVehicleNumber","Check form validation for empty vehicle number",""
"passed","Mon Sep 15 08:21:15 UTC 2025","Mon Sep 15 08:21:23 UTC 2025","8896","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testNavigateToAddLicense","testNavigateToAddLicense",""
"passed","Mon Sep 15 08:39:26 UTC 2025","Mon Sep 15 08:39:26 UTC 2025","158","Suite","Test","MiningEngineer.AppointmentsTabNavigationTest","MiningEngineer.AppointmentsTabNavigationTest","testSwitchToPendingTab","testSwitchToPendingTab",""
"passed","Mon Sep 15 08:46:13 UTC 2025","Mon Sep 15 08:46:13 UTC 2025","16","Suite","Test","MiningEngineer.ScheduledTabTests","MiningEngineer.ScheduledTabTests","verifyViewOnMapLinkWorks","verifyViewOnMapLinkWorks",""
"passed","Mon Sep 15 08:46:12 UTC 2025","Mon Sep 15 08:46:13 UTC 2025","8","Suite","Test","MiningEngineer.ScheduledTabTests","MiningEngineer.ScheduledTabTests","verifyScheduledAppointmentsExist","verifyScheduledAppointmentsExist",""
"passed","Mon Sep 15 08:23:21 UTC 2025","Mon Sep 15 08:23:32 UTC 2025","11420","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testViewButtonFunctionality","testViewButtonFunctionality",""
"skipped","Mon Sep 15 08:37:33 UTC 2025","Mon Sep 15 08:37:33 UTC 2025","0","Suite","Test","PoliceOfficer.validnumber","PoliceOfficer.validnumber","navigateToSignInPage","Navigate from homepage to the Sign In page",""
"skipped","Mon Sep 15 08:46:47 UTC 2025","Mon Sep 15 08:46:47 UTC 2025","0","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyTransportLicenseChart","verifyTransportLicenseChart",""
"broken","Mon Sep 15 08:38:57 UTC 2025","Mon Sep 15 08:38:59 UTC 2025","2265","Suite","Test","GeneralPublic.InvalidNumber","GeneralPublic.InvalidNumber","enterInvalidLicenseAndCheck","enterInvalidLicenseAndCheck",""
"broken","Mon Sep 15 08:46:17 UTC 2025","Mon Sep 15 08:46:47 UTC 2025","30205","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyDashboardLoad","verifyDashboardLoad",""
"passed","Mon Sep 15 08:48:00 UTC 2025","Mon Sep 15 08:48:04 UTC 2025","4865","Suite","Test","GSMBManagement.ActivationPageTest","GSMBManagement.ActivationPageTest","login","login",""
"passed","Mon Sep 15 08:21:57 UTC 2025","Mon Sep 15 08:22:05 UTC 2025","7310","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testNumericFields","testNumericFields",""
"passed","Mon Sep 15 08:15:59 UTC 2025","Mon Sep 15 08:16:04 UTC 2025","5077","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","loginToMLDashboard","loginToMLDashboard",""
"skipped","Mon Sep 15 08:04:34 UTC 2025","Mon Sep 15 08:04:34 UTC 2025","1","Suite","Test","Home.homepage","Home.homepage","testTamilVersion","testTamilVersion",""
"broken","Mon Sep 15 08:10:59 UTC 2025","Mon Sep 15 08:11:31 UTC 2025","32805","Suite","Test","MLOwner.MLOwnerButtonTabsTest","MLOwner.MLOwnerButtonTabsTest","testMLRequestButton","testMLRequestButton",""
"passed","Mon Sep 15 08:23:42 UTC 2025","Mon Sep 15 08:23:54 UTC 2025","12365","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testDatePickerFunctionality","testDatePickerFunctionality",""
"broken","Mon Sep 15 08:35:26 UTC 2025","Mon Sep 15 08:36:07 UTC 2025","41283","Suite","Test","GSMBOfficer.ValidateLicense","GSMBOfficer.ValidateLicense","testLicenseValidationWorkflow","testLicenseValidationWorkflow",""
"skipped","Mon Sep 15 08:38:11 UTC 2025","Mon Sep 15 08:38:11 UTC 2025","0","Suite","Test","PoliceOfficer.invalidnumber","PoliceOfficer.invalidnumber","handleAlertOrFindReportButton","handleAlertOrFindReportButton",""
"passed","Mon Sep 15 08:40:02 UTC 2025","Mon Sep 15 08:40:02 UTC 2025","6","Suite","Test","MiningEngineer.ApprovedLicensesTableTest","MiningEngineer.ApprovedLicensesTableTest","verifyApprovedLicensesExist","verifyApprovedLicensesExist",""
"passed","Mon Sep 15 08:30:01 UTC 2025","Mon Sep 15 08:30:11 UTC 2025","9232","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testOpenPhysicalMeetingModal","testOpenPhysicalMeetingModal",""
"passed","Mon Sep 15 08:38:11 UTC 2025","Mon Sep 15 08:38:14 UTC 2025","3029","Suite","Test","GeneralPublic.GeneralPublicDashboard","GeneralPublic.GeneralPublicDashboard","openWebsite","openWebsite",""
"passed","Mon Sep 15 08:28:38 UTC 2025","Mon Sep 15 08:29:44 UTC 2025","66162","Suite","Test","GSMBOfficer.TPLandMLview","GSMBOfficer.TPLandMLview","testComplaintsPagination","testComplaintsPagination",""
