"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 23 08:53:21 GMT 2025","Tue Sep 23 08:54:01 GMT 2025","40048","Suite","Test","MLOwner.RoyaltyPayementTest","MLOwner.RoyaltyPayementTest","invalidCardDetailsShouldFail","invalidCardDetailsShouldFail",""
"passed","Tue Sep 23 09:21:47 GMT 2025","Tue Sep 23 09:21:47 GMT 2025","178","Suite","Test","MiningEngineer.AppointmentsTabNavigationTest","MiningEngineer.AppointmentsTabNavigationTest","testSwitchToApprovedTab","testSwitchToApprovedTab",""
"passed","Tue Sep 23 08:40:56 GMT 2025","Tue Sep 23 08:41:31 GMT 2025","34724","Suite","Test","MLOwner.mlownersingin","MLOwner.mlownersingin","testSinhalaVersion","testSinhalaVersion",""
"passed","Tue Sep 23 09:29:02 GMT 2025","Tue Sep 23 09:29:09 GMT 2025","6680","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyMonthlySandCubesChart","verifyMonthlySandCubesChart",""
"passed","Tue Sep 23 08:43:55 GMT 2025","Tue Sep 23 08:44:01 GMT 2025","5716","Suite","Test","MLOwner.LicensesPageTest","MLOwner.LicensesPageTest","navigateToLicensesPage","navigateToLicensesPage",""
"passed","Tue Sep 23 09:21:35 GMT 2025","Tue Sep 23 09:21:35 GMT 2025","24","Suite","Test","MiningEngineer.AppointmentsSetDateTest","MiningEngineer.AppointmentsSetDateTest","testSetDateButtonVisibility","testSetDateButtonVisibility",""
"passed","Tue Sep 23 08:59:21 GMT 2025","Tue Sep 23 09:02:47 GMT 2025","205663","Suite","Test","GSMBOfficer.GSMBmlTab","GSMBOfficer.GSMBmlTab","gsmbSignin","gsmbSignin",""
"passed","Tue Sep 23 08:42:54 GMT 2025","Tue Sep 23 08:43:02 GMT 2025","7668","Suite","Test","MLOwner.MLRequestFormTest","MLOwner.MLRequestFormTest","testMissingMandatoryField","testMissingMandatoryField",""
"passed","Tue Sep 23 08:41:59 GMT 2025","Tue Sep 23 08:42:11 GMT 2025","12162","Suite","Test","MLOwner.MLRequestFormTest","MLOwner.MLRequestFormTest","fillMLRequestFormFields","fillMLRequestFormFields",""
"broken","Tue Sep 23 09:14:50 GMT 2025","Tue Sep 23 09:15:31 GMT 2025","41290","Suite","Test","GSMBOfficer.ValidateLicense","GSMBOfficer.ValidateLicense","testLicenseValidationWorkflow","testLicenseValidationWorkflow",""
"broken","Tue Sep 23 08:39:40 GMT 2025","Tue Sep 23 08:39:40 GMT 2025","2","Suite","Test","Home.homepage","Home.homepage","setup","setup",""
"passed","Tue Sep 23 09:17:59 GMT 2025","Tue Sep 23 09:19:02 GMT 2025","62562","Suite","Test","PoliceOfficer.invalidnumber","PoliceOfficer.invalidnumber","validateInvalidLicenseResponse","validateInvalidLicenseResponse",""
"broken","Tue Sep 23 09:25:55 GMT 2025","Tue Sep 23 09:26:01 GMT 2025","5059","Suite","Test","MiningEngineer.HoldModalScheduled","MiningEngineer.HoldModalScheduled","testHoldModalCloseButton","testHoldModalCloseButton",""
"passed","Tue Sep 23 09:22:21 GMT 2025","Tue Sep 23 09:22:22 GMT 2025","930","Suite","Test","MiningEngineer.ApprovedLicensesTableTest","MiningEngineer.ApprovedLicensesTableTest","verifyGoogleMapsLink","verifyGoogleMapsLink",""
"passed","Tue Sep 23 09:12:51 GMT 2025","Tue Sep 23 09:13:01 GMT 2025","9701","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testApprovedFilter","testApprovedFilter",""
"failed","Tue Sep 23 08:54:48 GMT 2025","Tue Sep 23 08:55:24 GMT 2025","36097","Suite","Test","GSMBOfficer.GsmbOfficerSignin","GSMBOfficer.GsmbOfficerSignin","testValidLogin","testValidLogin",""
"passed","Tue Sep 23 08:50:17 GMT 2025","Tue Sep 23 08:50:23 GMT 2025","5521","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","validateLicenseAndRoute1","validateLicenseAndRoute1",""
"broken","Tue Sep 23 08:48:24 GMT 2025","Tue Sep 23 08:48:58 GMT 2025","33744","Suite","Test","MLOwner.DispatchHistoryTest","MLOwner.DispatchHistoryTest","verifyDashboardCardVisible","verifyDashboardCardVisible",""
"broken","Tue Sep 23 09:04:40 GMT 2025","Tue Sep 23 09:05:21 GMT 2025","41259","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testOpenPhysicalMeetingModal","testOpenPhysicalMeetingModal",""
"passed","Tue Sep 23 08:50:40 GMT 2025","Tue Sep 23 08:50:57 GMT 2025","17210","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","submitDispatchForm","submitDispatchForm",""
"broken","Tue Sep 23 09:06:51 GMT 2025","Tue Sep 23 09:07:32 GMT 2025","41264","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testApprovalValidationWithoutComments","testApprovalValidationWithoutComments",""
"passed","Tue Sep 23 09:02:54 GMT 2025","Tue Sep 23 09:03:00 GMT 2025","5957","Suite","Test","GSMBOfficer.TPLandMLview","GSMBOfficer.TPLandMLview","testViewMiningLicense","testViewMiningLicense",""
"passed","Tue Sep 23 08:58:46 GMT 2025","Tue Sep 23 08:58:57 GMT 2025","11748","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testPurposeFieldFunctionality","testPurposeFieldFunctionality",""
"passed","Tue Sep 23 09:29:48 GMT 2025","Tue Sep 23 09:29:55 GMT 2025","7562","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyMapComponent","verifyMapComponent",""
"skipped","Tue Sep 23 08:39:40 GMT 2025","Tue Sep 23 08:39:40 GMT 2025","0","Suite","Test","Home.Register","Home.Register","testRegisterMissingRequiredField","testRegisterMissingRequiredField",""
"passed","Tue Sep 23 08:57:49 GMT 2025","Tue Sep 23 08:57:54 GMT 2025","4912","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testUserLogin","testUserLogin",""
"broken","Tue Sep 23 09:16:26 GMT 2025","Tue Sep 23 09:17:03 GMT 2025","36434","Suite","Test","PoliceOfficer.policeofficersignin","PoliceOfficer.policeofficersignin","checkValidVehicleNumber","checkValidVehicleNumber",""
"passed","Tue Sep 23 09:28:43 GMT 2025","Tue Sep 23 09:28:55 GMT 2025","11683","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyKPICards","verifyKPICards",""
"passed","Tue Sep 23 08:41:52 GMT 2025","Tue Sep 23 08:41:59 GMT 2025","6528","Suite","Test","MLOwner.MLRequestFormTest","MLOwner.MLRequestFormTest","openMLRequestFormPage","openMLRequestFormPage",""
"passed","Tue Sep 23 09:28:29 GMT 2025","Tue Sep 23 09:28:36 GMT 2025","6535","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","loginToDashboard","loginToDashboard",""
"passed","Tue Sep 23 08:56:35 GMT 2025","Tue Sep 23 08:56:43 GMT 2025","7846","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testNumericFields","testNumericFields",""
"passed","Tue Sep 23 08:39:59 GMT 2025","Tue Sep 23 08:40:04 GMT 2025","5187","Suite","Test","MLOwner.mlownerhome","MLOwner.mlownerhome","testRequestMiningLicenseCard","testRequestMiningLicenseCard",""
"passed","Tue Sep 23 08:51:58 GMT 2025","Tue Sep 23 08:52:06 GMT 2025","8021","Suite","Test","MLOwner.DispatchLoadPageTest","MLOwner.DispatchLoadPageTest","testFormValidationWithEmptyFields","testFormValidationWithEmptyFields",""
"broken","Tue Sep 23 08:46:08 GMT 2025","Tue Sep 23 08:46:42 GMT 2025","33736","Suite","Test","MLOwner.DispatchHistoryTest","MLOwner.DispatchHistoryTest","verifyHistoryCardPresent","verifyHistoryCardPresent",""
"passed","Tue Sep 23 08:55:52 GMT 2025","Tue Sep 23 08:56:00 GMT 2025","8051","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testNavigateToAddLicense","testNavigateToAddLicense",""
"broken","Tue Sep 23 09:20:28 GMT 2025","Tue Sep 23 09:21:00 GMT 2025","32732","Suite","Test","GeneralPublic.GeneralPublicDashboard","GeneralPublic.GeneralPublicDashboard","clickCheckValidityButton","clickCheckValidityButton",""
"passed","Tue Sep 23 09:28:27 GMT 2025","Tue Sep 23 09:28:27 GMT 2025","17","Suite","Test","MiningEngineer.ScheduledTabTests","MiningEngineer.ScheduledTabTests","verifyScheduledDateColumnExists","verifyScheduledDateColumnExists",""
"skipped","Tue Sep 23 09:21:00 GMT 2025","Tue Sep 23 09:21:00 GMT 2025","0","Suite","Test","GeneralPublic.GeneralPublicDashboard","GeneralPublic.GeneralPublicDashboard","enterAndSubmitVehicleNumber","enterAndSubmitVehicleNumber",""
"passed","Tue Sep 23 09:21:11 GMT 2025","Tue Sep 23 09:21:20 GMT 2025","8830","Suite","Test","GeneralPublic.InvalidNumber","GeneralPublic.InvalidNumber","handleInvalidAlertOrMessage","handleInvalidAlertOrMessage",""
"passed","Tue Sep 23 09:09:01 GMT 2025","Tue Sep 23 09:12:14 GMT 2025","192937","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testMultipleFileFormatsUpload","testMultipleFileFormatsUpload",""
"broken","Tue Sep 23 09:15:34 GMT 2025","Tue Sep 23 09:16:15 GMT 2025","41380","Suite","Test","GSMBOfficer.ValidateLicense","GSMBOfficer.ValidateLicense","testCloseValidationModal","testCloseValidationModal",""
"passed","Tue Sep 23 08:56:12 GMT 2025","Tue Sep 23 08:56:21 GMT 2025","8834","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testDropdownFields","testDropdownFields",""
"passed","Tue Sep 23 08:58:34 GMT 2025","Tue Sep 23 08:58:45 GMT 2025","11645","Suite","Test","GSMBOfficer.RequestMining","GSMBOfficer.RequestMining","testLocationFieldFunctionality","testLocationFieldFunctionality",""
"passed","Tue Sep 23 08:40:21 GMT 2025","Tue Sep 23 08:40:56 GMT 2025","34688","Suite","Test","MLOwner.mlownersingin","MLOwner.mlownersingin","testTamilVersion","testTamilVersion",""
"passed","Tue Sep 23 09:29:34 GMT 2025","Tue Sep 23 09:29:40 GMT 2025","6884","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyTransportLicenseChart","verifyTransportLicenseChart",""
"passed","Tue Sep 23 08:55:36 GMT 2025","Tue Sep 23 08:55:41 GMT 2025","5147","Suite","Test","GSMBOfficer.GsmbOfficerSignin","GSMBOfficer.GsmbOfficerSignin","testEmptyFieldsLogin","testEmptyFieldsLogin",""
"passed","Tue Sep 23 08:44:01 GMT 2025","Tue Sep 23 08:44:09 GMT 2025","7247","Suite","Test","MLOwner.LicensesPageTest","MLOwner.LicensesPageTest","testSearchFunctionality","testSearchFunctionality",""
"passed","Tue Sep 23 09:13:03 GMT 2025","Tue Sep 23 09:13:13 GMT 2025","9695","Suite","Test","GSMBOfficer.RequestMiningFilter","GSMBOfficer.RequestMiningFilter","testRejectedFilter","testRejectedFilter",""
"passed","Tue Sep 23 08:52:12 GMT 2025","Tue Sep 23 08:52:17 GMT 2025","5083","Suite","Test","MLOwner.RoyaltyPayementTest","MLOwner.RoyaltyPayementTest","login","login",""
"passed","Tue Sep 23 09:20:24 GMT 2025","Tue Sep 23 09:20:27 GMT 2025","3137","Suite","Test","GeneralPublic.GeneralPublicDashboard","GeneralPublic.GeneralPublicDashboard","openWebsite","openWebsite",""
"passed","Tue Sep 23 09:17:03 GMT 2025","Tue Sep 23 09:17:09 GMT 2025","6062","Suite","Test","PoliceOfficer.policeofficersignin","PoliceOfficer.policeofficersignin","checkEmptyVehicleNumber","checkEmptyVehicleNumber",""
"passed","Tue Sep 23 09:04:29 GMT 2025","Tue Sep 23 09:04:37 GMT 2025","7740","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testNavigateToMiningLicenseTab","testNavigateToMiningLicenseTab",""
"passed","Tue Sep 23 08:44:23 GMT 2025","Tue Sep 23 08:44:30 GMT 2025","7284","Suite","Test","MLOwner.LicensesPageTest","MLOwner.LicensesPageTest","testCardContentsAndHistoryButton","testCardContentsAndHistoryButton",""
"skipped","Tue Sep 23 08:39:43 GMT 2025","Tue Sep 23 08:39:43 GMT 2025","0","Suite","Test","Home.Resetpassword","Home.Resetpassword","testRequestPasswordResetWithUnregisteredEmail","testRequestPasswordResetWithUnregisteredEmail",""
"skipped","Tue Sep 23 08:39:40 GMT 2025","Tue Sep 23 08:39:40 GMT 2025","0","Suite","Test","Home.homepage","Home.homepage","testSinhalaVersion","testSinhalaVersion",""
"passed","Tue Sep 23 09:17:52 GMT 2025","Tue Sep 23 09:17:59 GMT 2025","7205","Suite","Test","PoliceOfficer.invalidnumber","PoliceOfficer.invalidnumber","clickCheckButtonAndVerifyResponse","clickCheckButtonAndVerifyResponse",""
"passed","Tue Sep 23 09:29:41 GMT 2025","Tue Sep 23 09:29:47 GMT 2025","6592","Suite","Test","GSMBManagement.GSMBManagementDashboard","GSMBManagement.GSMBManagementDashboard","verifyTopDestinationsChart","verifyTopDestinationsChart",""
"skipped","Tue Sep 23 08:39:43 GMT 2025","Tue Sep 23 08:39:43 GMT 2025","0","Suite","Test","Home.Resetpassword","Home.Resetpassword","testRequestPasswordReset","testRequestPasswordReset",""
"skipped","Tue Sep 23 08:39:40 GMT 2025","Tue Sep 23 08:39:40 GMT 2025","1","Suite","Test","Home.Register","Home.Register","testRegisterGSMBOfficer","testRegisterGSMBOfficer",""
"broken","Tue Sep 23 09:08:18 GMT 2025","Tue Sep 23 09:08:59 GMT 2025","41389","Suite","Test","GSMBOfficer.PhysicalMeeting","GSMBOfficer.PhysicalMeeting","testReceiptUploadFunctionality","testReceiptUploadFunctionality",""
"skipped","Tue Sep 23 09:21:00 GMT 2025","Tue Sep 23 09:21:00 GMT 2025","0","Suite","Test","GeneralPublic.GeneralPublicDashboard","GeneralPublic.GeneralPublicDashboard","enterInvalidVehicleNumberFormat","enterInvalidVehicleNumberFormat",""
"passed","Tue Sep 23 08:43:37 GMT 2025","Tue Sep 23 08:43:44 GMT 2025","6626","Suite","Test","MLOwner.MLOwnerButtonTabsTest","MLOwner.MLOwnerButtonTabsTest","testMLRequestButton","testMLRequestButton",""
"passed","Tue Sep 23 08:56:56 GMT 2025","Tue Sep 23 08:57:05 GMT 2025","8737","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testMultipleFileUploads","testMultipleFileUploads",""
"passed","Tue Sep 23 09:21:36 GMT 2025","Tue Sep 23 09:21:37 GMT 2025","481","Suite","Test","MiningEngineer.AppointmentsSetDateTest","MiningEngineer.AppointmentsSetDateTest","testDateSelection","testDateSelection",""
"broken","Tue Sep 23 09:25:15 GMT 2025","Tue Sep 23 09:25:55 GMT 2025","40243","Suite","Test","MiningEngineer.HoldModalScheduled","MiningEngineer.HoldModalScheduled","testHoldModalRequiredValidation","testHoldModalRequiredValidation",""
"passed","Tue Sep 23 08:55:45 GMT 2025","Tue Sep 23 08:55:50 GMT 2025","4857","Suite","Test","GSMBOfficer.MiningLicenseTestSuite","GSMBOfficer.MiningLicenseTestSuite","testSuccessfulLogin","testSuccessfulLogin",""
"skipped","Tue Sep 23 09:17:40 GMT 2025","Tue Sep 23 09:17:40 GMT 2025","0","Suite","Test","PoliceOfficer.validnumber","PoliceOfficer.validnumber","checkValidVehicleNumber","Check for a valid vehicle number",""
"passed","Tue Sep 23 08:55:30 GMT 2025","Tue Sep 23 08:55:35 GMT 2025","5436","Suite","Test","GSMBOfficer.GsmbOfficerSignin","GSMBOfficer.GsmbOfficerSignin","testInvalidPasswordLogin","testInvalidPasswordLogin",""
"passed","Tue Sep 23 08:42:11 GMT 2025","Tue Sep 23 08:42:22 GMT 2025","10995","Suite","Test","MLOwner.MLRequestFormTest","MLOwner.MLRequestFormTest","selectDistrictAndDivision","selectDistrictAndDivision",""
"passed","Tue Sep 23 09:22:21 GMT 2025","Tue Sep 23 09:22:21 GMT 2025","10","Suite","Test","MiningEngineer.ApprovedLicensesTableTest","MiningEngineer.ApprovedLicensesTableTest","verifyApprovedAppointmentsExist","verifyApprovedAppointmentsExist",""
